"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_ID"
"262585_at"	-0.828157091275459	6.33757527964546	-5.72798354681165	0.000263618315011042	0.0348058682571119	0.853943758037741	"AT1G15460"
"267126_s_at"	1.23422874125242	8.20143708912437	5.71592821659742	0.000267728766878271	0.0350970871982377	0.838793723911546	"AT2G23590"
"254665_at"	0.760456321295854	7.98460134216552	5.70781019398142	0.000270535803540439	0.0352624095928995	0.828578939684297	"AT4G18340"
"249516_s_at"	-0.68823321061208	7.40726599600668	-5.6916081728724	0.000276233832624507	0.0358005325123012	0.808161368764733	"AT5G38550"
"246331_at"	0.400866093024349	6.01130957112902	5.67332066004584	0.000282821803611731	0.0362425019122673	0.785066321705377	"AT3G44820"
"266827_at"	-0.418887597010994	6.84609577266331	-5.6753794383259	0.000282071715691498	0.0362425019122673	0.787668941141804	"AT2G22920"
"261546_at"	0.458687537255209	3.73508752333845	5.64676571903941	0.000292692667998386	0.0372978757376714	0.751437137818679	"AT1G63520"
"248347_at"	0.542083886593901	7.79431576475541	5.63587546650931	0.000296847983311735	0.0376172361074482	0.737613728772418	"AT5G52250"
"267077_at"	0.673532275639397	7.83092632516169	5.62596467509174	0.000300685085624417	0.0378929657629445	0.72501739973668	"AT2G40970"
"249212_at"	-0.519804111978812	6.30201731956514	-5.60748229326579	0.000307984915640794	0.0383887209058279	0.701485593413695	"AT5G42690"
"260243_at"	-0.647875444014547	6.63395451116196	-5.61139361964507	0.000306424248073837	0.0383887209058279	0.706469982268351	"AT1G63720"
"251081_at"	0.468671747155248	3.43082421181183	5.58783164294105	0.000315956970554316	0.0391683614040432	0.676407415900352	"AT5G02070"
"249231_at"	0.72004926862058	6.93734770204353	5.57973480113614	0.000319306454362635	0.0393696228324958	0.666056536812927	"AT5G42030"
"250350_at"	0.818025178091924	8.51585593259796	5.53493467484607	0.000338546957070224	0.0415175058643646	0.608598001342619	"AT5G12010"
"250516_at"	0.423084431940322	8.98410552333029	5.53062380550252	0.000340463432803045	0.0415292561616976	0.603052385240228	"AT5G09620"
"245328_at"	0.614677454321273	8.04022990890653	5.50487462467743	0.000352157719161869	0.0425011511856202	0.569866842590812	"AT4G14465"
"253042_at"	0.874746909888226	5.32746758260957	5.50784683514976	0.000350785953600671	0.0425011511856202	0.573702774802139	"AT4G37550"
"248736_at"	-0.742416569952311	7.96068641606482	-5.49246108424786	0.00035794993808691	0.0427478433914263	0.553830843482359	"AT5G48110"
"255105_at"	0.435025242235123	5.13741579030138	5.49565292144771	0.000356450843270228	0.0427478433914263	0.557956433695142	"AT4G08620"
"249765_at"	0.630673757128203	7.81143942799025	5.47871356557308	0.000364484980183894	0.0433015749895553	0.536043155331343	"AT5G24030"
"267141_at"	-0.735514223975641	8.29650942798597	-5.46855615039964	0.000369396207512536	0.0436576554060153	0.522881435718761	"AT2G38090"
"246844_at"	0.582450624137746	7.84986922971329	5.46377013543015	0.000371735040929962	0.0437076097093424	0.516674180007942	"AT5G26655"
"246854_at"	0.710904552804114	4.02351519746725	5.45489546917454	0.000376114366427478	0.0437789828064037	0.505154522855533	"AT5G26200"
"262666_at"	0.523523788138855	8.45335120373512	5.45476200477962	0.000376180650155858	0.0437789828064037	0.504981185769189	"AT1G14080"
"249139_at"	0.684720056746704	6.73745091456477	5.42503816186507	0.000391261833990581	0.0448476504187194	0.466307005744595	"AT5G43170"
"259195_at"	0.520872881211972	5.38165755543581	5.42821186872099	0.000389620854354386	0.0448476504187194	0.470443044032382	"AT3G01730"
"259568_at"	-0.602770240995775	7.30639184368217	-5.43096425848874	0.000388203736322457	0.0448476504187194	0.474028720778937	"AT1G20490"
"248167_at"	-0.715029234715358	5.14408280126565	-5.40028244487078	0.000404321005287141	0.0461128106529984	0.43399004561152	"AT5G54530"
"247020_at"	0.606187573290589	5.64069940272758	5.37745262370909	0.000416782054028126	0.0471399074896494	0.404101044891902	"AT5G67020"
